"Name","Author","Price","User Rating"
"10-Day Green Smoothie Cleanse","JJ Smith","8","4.7"
"11/22/63: A Novel","Stephen King","22","4.6"
"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","15","4.7"
"1984 (Signet Classics)","George Orwell","6","4.7"
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)","National Geographic Kids","12","4.8"
"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin","11","4.4"
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","George R. R. Martin","30","4.7"
"A Gentleman in Moscow: A Novel","Amor Towles","15","4.7"
"A Higher Loyalty: Truth, Lies, and Leadership","James Comey","3","4.7"
"A Man Called Ove: A Novel","Fredrik Backman","8","4.6"
"A Man Called Ove: A Novel","Fredrik Backman","8","4.6"
"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror","Larry Schweikart","2","4.6"
"A Stolen Life: A Memoir","Jaycee Dugard","32","4.6"
"A Wrinkle in Time (Time Quintet)","Madeleine L'Engle","5","4.5"
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey","17","4.6"
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","Adult Coloring Book Designs","4","4.5"
"Adult Coloring Book: Stress Relieving Animal Designs","Blue Star Coloring","6","4.6"
"Adult Coloring Book: Stress Relieving Patterns","Blue Star Coloring","6","4.4"
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…","Coloring Books for Adults","8","4.5"
"Alexander Hamilton","Ron Chernow","13","4.8"
"All the Light We Cannot See","Anthony Doerr","14","4.6"
"All the Light We Cannot See","Anthony Doerr","14","4.6"
"Allegiant","Veronica Roth","13","3.9"
"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History","Chris Kyle","9","4.6"
"And the Mountains Echoed","Khaled Hosseini","13","4.3"
"Arguing with Idiots: How to Stop Small Minds and Big Government","Glenn Beck","5","4.6"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","9","4.7"
"Autobiography of Mark Twain, Vol. 1","Mark Twain","14","4.2"
"Baby Touch and Feel: Animals","DK","5","4.6"
"Balance (Angie's Extreme Stress Menders)","Angie Grace","11","4.6"
"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook","Ina Garten","24","4.8"
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","Ina Garten","21","4.7"
"Becoming","Michelle Obama","11","4.8"
"Becoming","Michelle Obama","11","4.8"
"Being Mortal: Medicine and What Matters in the End","Atul Gawande","15","4.8"
"Between the World and Me","Ta-Nehisi Coates","13","4.7"
